Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,19,11.22857143,8.285714286,10.54285714,11.22857143,NULL,NULL,NULL,NULL,NULL,13
2016,20,9.971428571,7.371428571,8.885714286,9.542857143,NULL,NULL,NULL,NULL,NULL,13
2016,21,5.857142857,3.514285714,4.428571429,5.285714286,NULL,NULL,NULL,NULL,NULL,13
2016,22,10.94285714,6.4,7.4,7.914285714,NULL,NULL,NULL,NULL,NULL,13
2016,23,5,3.657142857,4.771428571,4.971428571,NULL,NULL,NULL,NULL,NULL,13
2016,24,10.17142857,6.771428571,8.114285714,8.628571429,NULL,NULL,NULL,NULL,NULL,13
2016,25,10.65714286,6.371428571,8.914285714,9.8,NULL,NULL,NULL,NULL,NULL,13
2016,26,7.742857143,4.114285714,5.114285714,6.542857143,NULL,NULL,NULL,NULL,NULL,13
2016,27,0.057142857,0.057142857,0.057142857,0.057142857,NULL,NULL,NULL,NULL,NULL,13
2016,28,2.514285714,2.057142857,2.228571429,2.428571429,NULL,NULL,NULL,NULL,NULL,13
2016,29,8.971428571,4.114285714,6.428571429,8.8,NULL,NULL,NULL,NULL,NULL,13
2016,30,10.37142857,6.971428571,8.228571429,8.942857143,NULL,NULL,NULL,NULL,NULL,13
2016,31,14.2,11.08571429,12.82857143,13.05714286,NULL,NULL,NULL,NULL,NULL,13
2016,32,1.371428571,1.2,1.285714286,1.342857143,NULL,NULL,NULL,NULL,NULL,13
2016,33,1.6,1.371428571,1.457142857,1.514285714,NULL,NULL,NULL,NULL,NULL,13
2016,34,6.285714286,4.514285714,5.885714286,6.114285714,NULL,NULL,NULL,NULL,NULL,13
2016,35,7.485714286,3.914285714,6.114285714,7.085714286,NULL,NULL,NULL,NULL,NULL,13
2016,36,0.9,0.55,0.7,0.7,NULL,NULL,NULL,NULL,NULL,13
2016,1,16.1,5.8,8.9,12.5,26.95,28.95,24.4,9,31.7,14
